ID,SystemCodeNumber,DateTime,Occupancy,Capacity,OccupancyRate,PreviousPrice,NewPrice,PriceChange,VehicleType,TrafficCondition,QueueLength
468,BHMBCCMKT01,01-11-2016 08:06:00,50,577,0.08665511265164645,10.0,10.433275563258233,0.433275563258233,car,low,1
469,BHMBCCMKT01,01-11-2016 08:26:00,54,577,0.09358752166377816,10.433275563258233,10.901213171577124,0.4679376083188913,car,low,1
470,BHMBCCMKT01,01-11-2016 09:00:00,69,577,0.1195840554592721,10.901213171577124,11.499133448873485,0.5979202772963603,car,average,2
471,BHMBCCMKT01,01-11-2016 09:26:00,91,577,0.15771230502599654,11.499133448873485,12.287694974003468,0.7885615251299836,car,low,1
472,BHMBCCMKT01,01-11-2016 10:00:00,135,577,0.2339688041594454,12.287694974003468,13.457538994800695,1.1698440207972265,truck,average,3
473,BHMBCCMKT01,01-11-2016 10:26:00,163,577,0.2824956672443674,13.457538994800695,14.870017331022531,1.4124783362218363,truck,average,4
474,BHMBCCMKT01,01-11-2016 11:00:00,185,577,0.32062391681109187,14.870017331022531,16.47313691507799,1.6031195840554595,car,average,5
475,BHMBCCMKT01,01-11-2016 11:26:00,207,577,0.3587521663778163,16.47313691507799,18.26689774696707,1.793760831889081,bike,average,4
476,BHMBCCMKT01,01-11-2016 12:00:00,239,577,0.41421143847487,18.26689774696707,20.0,1.7331022530329285,car,high,7
477,BHMBCCMKT01,01-11-2016 12:26:00,244,577,0.42287694974003465,20.0,20.0,0.0,car,high,7
478,BHMBCCMKT01,01-11-2016 13:00:00,243,577,0.42114384748700173,20.0,20.0,0.0,car,high,8
479,BHMBCCMKT01,01-11-2016 13:26:00,241,577,0.41767764298093585,20.0,20.0,0.0,car,high,7
480,BHMBCCMKT01,01-11-2016 14:00:00,229,577,0.3968804159445407,20.0,20.0,0.0,car,average,4
481,BHMBCCMKT01,01-11-2016 14:26:00,199,577,0.34488734835355284,20.0,20.0,0.0,truck,average,3
