ID,SystemCodeNumber,DateTime,OccupancyRate,QueueLength,TrafficCondition,IsSpecialDay,VehicleType,RawDemand,NormalizedDemand,Price,PriceMultiplier,Model1_Price,Price_Difference
468,BHMBCCMKT01,01-11-2016 08:06:00,0.08665511265164645,1,low,0,car,0.26199306759098784,-0.8520742522739415,5.0,0.5,10.433275563258233,-5.433275563258233
469,BHMBCCMKT01,01-11-2016 08:26:00,0.09358752166377816,1,low,0,car,0.2661525129982669,-0.8492845163432284,5.0,0.5,10.901213171577124,-5.901213171577124
470,BHMBCCMKT01,01-11-2016 09:00:00,0.1195840554592721,2,average,0,car,0.37175043327556323,-0.7784600954022514,5.0,0.5,11.499133448873485,-6.499133448873485
471,BHMBCCMKT01,01-11-2016 09:26:00,0.15771230502599654,1,low,0,car,0.3046273830155979,-0.8234794589841329,5.0,0.5,12.287694974003468,-7.287694974003468
472,BHMBCCMKT01,01-11-2016 10:00:00,0.2339688041594454,3,average,0,truck,0.6403812824956672,-0.5982896498770347,5.213682800983722,0.5213682800983722,13.457538994800695,-8.243856193816972
473,BHMBCCMKT01,01-11-2016 10:26:00,0.2824956672443674,4,average,0,truck,0.8194974003466204,-0.47815664636070465,6.174746829114363,0.6174746829114363,14.870017331022531,-8.695270501908169
474,BHMBCCMKT01,01-11-2016 11:00:00,0.32062391681109187,5,average,0,car,0.9423743500866552,-0.39574319740755715,6.834054420739543,0.6834054420739543,16.47313691507799,-9.639082494338448
475,BHMBCCMKT01,01-11-2016 11:26:00,0.3587521663778163,4,average,0,bike,0.7852512998266897,-0.5011254721902421,5.9909962224780635,0.5990996222478063,18.26689774696707,-12.275901524489008
476,BHMBCCMKT01,01-11-2016 12:00:00,0.41421143847487,7,high,0,car,1.238526863084922,-0.1971139991407893,8.423088006873686,0.8423088006873686,20.0,-11.576911993126314
477,BHMBCCMKT01,01-11-2016 12:26:00,0.42287694974003465,7,high,0,car,1.2437261698440207,-0.19362682922739805,8.450985366180815,0.8450985366180814,20.0,-11.549014633819185
478,BHMBCCMKT01,01-11-2016 13:00:00,0.42114384748700173,8,high,0,car,1.392686308492201,-0.09371941120873761,9.250244710330099,0.9250244710330099,20.0,-10.749755289669901
479,BHMBCCMKT01,01-11-2016 13:26:00,0.41767764298093585,7,high,0,car,1.2406065857885618,-0.1957191311754326,8.434246950596538,0.8434246950596538,20.0,-11.565753049403462
480,BHMBCCMKT01,01-11-2016 14:00:00,0.3968804159445407,4,average,0,car,0.8381282495667244,-0.4656609541710526,6.2747123666315785,0.6274712366631578,20.0,-13.72528763336842
481,BHMBCCMKT01,01-11-2016 14:26:00,0.34488734835355284,3,average,0,truck,0.7069324090121317,-0.5536538749856261,5.57076900011499,0.557076900011499,20.0,-14.42923099988501
482,BHMBCCMKT01,01-11-2016 15:00:00,0.3119584055459272,2,average,0,bike,0.45717504332755626,-0.7211658937252325,5.0,0.5,20.0,-15.0
483,BHMBCCMKT01,01-11-2016 15:27:00,0.28942807625649913,2,low,0,bike,0.5036568457538994,-0.6899905946995144,5.0,0.5,20.0,-15.0
484,BHMBCCMKT01,01-11-2016 16:00:00,0.2651646447140381,1,low,0,car,0.3690987868284228,-0.7802385520580809,5.0,0.5,20.0,-15.0
485,BHMBCCMKT01,01-11-2016 16:33:00,0.23050259965337955,1,low,0,car,0.3483015597920277,-0.7941872317116461,5.0,0.5,20.0,-15.0
1008,BHMBCCMKT01,01-12-2016 08:05:00,0.038128249566724434,1,low,0,bike,0.20287694974003462,-0.8917233741892004,5.0,0.5,20.0,-15.0
1009,BHMBCCMKT01,01-12-2016 08:25:00,0.038128249566724434,1,low,0,bike,0.20287694974003462,-0.8917233741892004,5.0,0.5,20.0,-15.0
1010,BHMBCCMKT01,01-12-2016 08:58:00,0.053726169844020795,2,low,0,car,0.39223570190641244,-0.7647206459434897,5.0,0.5,20.0,-15.0
1011,BHMBCCMKT01,01-12-2016 09:25:00,0.08145580589254767,2,low,0,car,0.40887348353552855,-0.7535617022206376,5.0,0.5,20.0,-15.0
1012,BHMBCCMKT01,01-12-2016 09:58:00,0.16291161178509533,2,low,0,truck,0.5077469670710572,-0.6872473543676465,5.0,0.5,20.0,-15.0
1013,BHMBCCMKT01,01-12-2016 10:25:00,0.22010398613518198,2,low,0,car,0.4920623916811091,-0.6977669836063769,5.0,0.5,20.0,-15.0
1014,BHMBCCMKT01,01-12-2016 10:58:00,0.2651646447140381,5,high,0,bike,0.8190987868284227,-0.4784239960540647,6.172608031567481,0.6172608031567481,20.0,-13.827391968432519
1015,BHMBCCMKT01,01-12-2016 11:32:00,0.30155979202772965,6,high,0,cycle,0.9509358752166376,-0.39000099095017293,6.8799920723986165,0.6879992072398616,20.0,-13.120007927601383
1016,BHMBCCMKT01,01-12-2016 11:58:00,0.3396880415944541,4,average,0,car,0.8038128249566724,-0.48867627559943505,6.09058979520452,0.609058979520452,20.0,-13.909410204795481
1017,BHMBCCMKT01,01-12-2016 12:25:00,0.3310225303292894,7,high,0,bike,1.1586135181975739,-0.2507118007096133,7.994305594323094,0.7994305594323093,20.0,-12.005694405676905
1018,BHMBCCMKT01,01-12-2016 12:58:00,0.3587521663778163,7,high,0,car,1.2052512998266898,-0.2194318865864936,8.24454490730805,0.824454490730805,20.0,-11.75545509269195
1019,BHMBCCMKT01,01-12-2016 13:25:00,0.35181975736568455,7,high,0,car,1.2010918544194107,-0.22222162251720667,8.222227019862347,0.8222227019862347,20.0,-11.777772980137653
1020,BHMBCCMKT01,01-12-2016 13:58:00,0.3292894280762565,5,average,0,car,0.9475736568457539,-0.3922560274941659,6.861951780046674,0.6861951780046673,20.0,-13.138048219953326
1021,BHMBCCMKT01,01-12-2016 14:25:00,0.29982668977469673,3,average,0,bike,0.599896013864818,-0.6254430796026416,5.0,0.5,20.0,-15.0
1022,BHMBCCMKT01,01-12-2016 14:58:00,0.29116117850953205,3,average,0,bike,0.5946967071057192,-0.6289302495160327,5.0,0.5,20.0,-15.0
1023,BHMBCCMKT01,01-12-2016 15:25:00,0.2651646447140381,3,low,0,bike,0.6390987868284227,-0.5991498184556712,5.206801452354631,0.520680145235463,20.0,-14.79319854764537
1024,BHMBCCMKT01,01-12-2016 15:58:00,0.21317157712305027,2,low,0,car,0.48790294627383013,-0.7005567195370899,5.0,0.5,20.0,-15.0
1025,BHMBCCMKT01,01-12-2016 16:25:00,0.18717504332755633,2,low,0,car,0.4723050259965338,-0.7110182292772638,5.0,0.5,20.0,-15.0
486,BHMBCCMKT01,02-11-2016 07:56:00,0.08665511265164645,1,low,0,bike,0.23199306759098787,-0.8721952226742091,5.0,0.5,20.0,-15.0
487,BHMBCCMKT01,02-11-2016 08:30:00,0.09012131715771231,1,low,0,car,0.2640727902946274,-0.8506793843085849,5.0,0.5,20.0,-15.0
488,BHMBCCMKT01,02-11-2016 08:56:00,0.09878682842287695,2,low,0,car,0.41927209705372614,-0.7465873623938549,5.0,0.5,20.0,-15.0
489,BHMBCCMKT01,02-11-2016 09:30:00,0.14038128249566725,2,average,0,car,0.38422876949740037,-0.7700908876101122,5.0,0.5,20.0,-15.0
490,BHMBCCMKT01,02-11-2016 09:56:00,0.1681109185441941,2,average,0,car,0.4008665511265165,-0.75893194388726,5.0,0.5,20.0,-15.0
491,BHMBCCMKT01,02-11-2016 10:29:00,0.21663778162911612,3,low,0,car,0.6399826689774696,-0.5985569995703947,5.211544003436844,0.5211544003436843,20.0,-14.788455996563156
492,BHMBCCMKT01,02-11-2016 10:56:00,0.24956672443674177,3,average,0,car,0.599740034662045,-0.6255476947000433,5.0,0.5,20.0,-15.0
493,BHMBCCMKT01,02-11-2016 11:30:00,0.28942807625649913,4,average,0,car,0.7736568457538995,-0.5089018610971046,5.928785111223163,0.5928785111223163,20.0,-14.071214888776836
494,BHMBCCMKT01,02-11-2016 11:56:00,0.292894280762565,5,average,0,bike,0.895736568457539,-0.42702311153067707,6.583815107754583,0.6583815107754583,20.0,-13.416184892245418
495,BHMBCCMKT01,02-11-2016 12:30:00,0.3188908145580589,7,high,0,car,1.1813344887348354,-0.23547286818809354,8.116217054495252,0.8116217054495252,20.0,-11.883782945504748
496,BHMBCCMKT01,02-11-2016 13:03:00,0.3327556325823224,4,average,0,car,0.7996533795493934,-0.49146601153014813,6.068271907758815,0.6068271907758815,20.0,-13.931728092241185
497,BHMBCCMKT01,02-11-2016 13:30:00,0.32582322357019067,4,average,0,car,0.7954939341421143,-0.4942557474608611,6.045954020313111,0.6045954020313111,20.0,-13.954045979686889
498,BHMBCCMKT01,02-11-2016 14:03:00,0.32582322357019067,3,average,0,bike,0.6154939341421143,-0.6149815698624677,5.080147441100258,0.5080147441100258,20.0,-14.919852558899741
499,BHMBCCMKT01,02-11-2016 14:30:00,0.29636048526863085,3,average,0,car,0.6278162911611784,-0.6067169771677303,5.146264182658157,0.5146264182658158,20.0,-14.853735817341843
500,BHMBCCMKT01,02-11-2016 14:56:00,0.2651646447140381,4,average,0,car,0.7590987868284228,-0.5186659368546003,5.850672505163197,0.5850672505163197,20.0,-14.149327494836804
501,BHMBCCMKT01,02-11-2016 15:29:00,0.22530329289428075,3,low,0,bike,0.6151819757365683,-0.6151908000572712,5.07847359954183,0.5078473599541831,20.0,-14.92152640045817
502,BHMBCCMKT01,02-11-2016 16:03:00,0.21663778162911612,2,average,0,car,0.4299826689774696,-0.7394037923722689,5.0,0.5,20.0,-15.0
503,BHMBCCMKT01,02-11-2016 16:30:00,0.19930675909878684,2,average,0,car,0.419584055459272,-0.7463781321990515,5.0,0.5,20.0,-15.0
1026,BHMBCCMKT01,02-12-2016 07:55:00,0.03119584055459272,1,low,0,bike,0.1987175043327556,-0.8945131101199135,5.0,0.5,20.0,-15.0
1027,BHMBCCMKT01,02-12-2016 08:28:00,0.0415944540727903,1,low,0,car,0.23495667244367416,-0.8702075358235761,5.0,0.5,20.0,-15.0
